Date,Site,Sample,Time,Start,End,Temp
5/25/2021,1,1,1,9:30,10:00,NA
5/25/2021,1,1,2,12:30,13:00,NA
5/25/2021,1,1,3,14:45,15:15,NA
5/25/2021,2,1,1,10:30,11:00,NA
5/25/2021,2,1,2,11:15,11:45,NA
5/25/2021,2,1,3,14:00,14:30,NA
5/24/2021,3,1,1,9:00,9:30,NA
5/24/2021,3,1,2,11:00,11:30,NA
5/24/2021,3,1,3,14:00,14:30,NA
5/24/2021,4,1,1,9:40,10:10,NA
5/24/2021,4,1,2,11:45,12:15,NA
5/24/2021,4,1,3,14:45,15:15,NA
5/23/2021,5,1,1,8:15,8:45,NA
5/23/2021,5,1,2,12:15,12:45,NA
5/23/2021,5,1,3,14:45,15:15,NA
5/23/2021,6,1,1,9:05,9:35,NA
5/23/2021,6,1,2,13:10,13:40,NA
5/23/2021,6,1,3,14:00,14:30,NA
5/21/2021,7,1,1,10:30,11:00,NA
5/21/2021,7,1,2,11:30,12:00,NA
5/21/2021,7,1,3,14:45,15:15,NA
5/21/2021,8,1,1,9:45,10:15,NA
5/21/2021,8,1,2,12:15,12:45,NA
5/21/2021,8,1,3,14:00,14:30,NA
6/3/2021,1,2,1,9:20,9:50,NA
6/3/2021,1,2,2,11:45,12:15,NA
6/3/2021,1,2,3,14:45,15:15,NA
6/3/2021,2,2,1,10:05,10:35,NA
6/3/2021,2,2,2,11:00,11:30,NA
6/3/2021,2,2,3,14:00,14:30,NA
6/4/2021,3,2,1,8:30,9:00,NA
6/4/2021,3,2,2,11:45,12:15,NA
6/4/2021,3,2,3,14:00,14:30,NA
6/4/2021,4,2,1,9:15,9:45,NA
6/4/2021,4,2,2,11:00,11:30,NA
6/4/2021,4,2,3,14:45,15:15,NA
6/1/2021,5,2,1,9:15,9:45,NA
6/2/2021,5,2,2,12:15,12:45,NA
6/2/2021,5,2,3,14:45,15:15,NA
6/1/2021,6,2,1,10:20,10:50,NA
6/1/2021,6,2,2,11:15,11:45,NA
6/3/2021,6,2,3,14:00,14:30,NA
6/2/2021,7,2,1,10:10,10:40,NA
6/2/2021,7,2,2,11:15,11:45,NA
6/2/2021,7,2,3,15:15,15:45,NA
6/2/2021,8,2,1,9:00,9:30,NA
6/2/2021,8,2,2,16:00,16:30,NA
6/2/2021,8,2,3,16:30,17:00,NA
6/16/2021,1,3,1,9:00,9:30,35
6/16/2021,1,3,2,11:45,12:15,36.5
6/16/2021,1,3,3,14:45,15:15,35.4
6/16/2021,2,3,1,9:45,10:15,35.4
6/16/2021,2,3,2,11:00,11:30,36.5
6/16/2021,2,3,3,14:00,14:30,35.5
6/17/2021,3,3,1,9:50,10:20,31
6/17/2021,3,3,2,12:45,13:15,35.4
6/17/2021,3,3,3,14:45,15:15,35
6/17/2021,4,3,1,10:30,11:00,32
6/17/2021,4,3,2,11:30,12:00,35
6/17/2021,4,3,3,14:00,14:30,36
6/20/2021,5,3,1,8:45,9:15,25
6/20/2021,5,3,2,12:50,13:20,33.9
6/20/2021,5,3,3,14:45,15:15,32.6
6/20/2021,6,3,1,9:45,10:15,25.3
6/20/2021,6,3,2,11:00,11:30,31.1
6/20/2021,6,3,3,14:00,14:30,34.4
6/18/2021,7,3,1,10:00,10:30,24.5
6/18/2021,7,3,2,11:30,12:00,27
6/18/2021,7,3,3,14:00,14:30,30
6/18/2021,8,3,1,8:30,9:00,23.5
6/18/2021,8,3,2,12:45,13:15,30.4
6/18/2021,8,3,3,14:45,15:15,32
6/29/2021,1,4,1,8:30,9:00,18
6/29/2021,1,4,2,11:45,12:15,25
6/29/2021,1,4,3,14:45,15:15,29.7
6/29/2021,2,4,1,9:10,9:40,18.7
6/29/2021,2,4,2,11:00,11:30,18.7
6/29/2021,2,4,3,14:00,14:30,28.3
6/28/2021,3,4,1,9:15,9:45,17.5
6/28/2021,3,4,2,13:30,14:00,30
6/28/2021,3,4,3,14:00,14:30,24.9
6/28/2021,4,4,1,10:00,10:30,16.9
6/28/2021,4,4,2,11:00,11:30,17.2
6/28/2021,4,4,3,14:45,15:15,29.7
6/30/2021,5,4,1,8:15,8:45,22.7
6/30/2021,5,4,2,13:00,13:30,32.3
6/30/2021,5,4,3,15:30,16:00,34.4
7/1/2021,6,4,1,9:30,10:00,32.3
7/1/2021,6,4,2,11:00,11:30,34
7/1/2021,6,4,3,14:00,14:30,35.9
6/30/2021,7,4,1,9:15,9:45,23.2
6/30/2021,7,4,2,11:45,12:15,35.7
6/30/2021,7,4,3,14:45,15:15,38
6/30/2021,8,4,1,10:00,10:30,24
6/30/2021,8,4,2,11:00,11:30,30
6/30/2021,8,4,3,14:00,14:30,32.5
7/16/2021,1,5,1,8:50,9:20,25.8
7/16/2021,1,5,2,11:45,12:15,29.8
7/16/2021,1,5,3,14:45,15:15,30.9
7/16/2021,2,5,1,9:45,10:15,26.6
7/16/2021,2,5,2,11:00,11:30,27
7/16/2021,2,5,3,14:00,14:30,29
7/15/2021,3,5,1,8:45,9:15,20.5
7/15/2021,3,5,2,11:45,12:15,28.8
7/15/2021,3,5,3,14:45,15:15,28.5
7/15/2021,4,5,1,9:30,10:00,23.8
7/15/2021,4,5,2,11:00,11:30,28
7/15/2021,4,5,3,14:00,14:30,28.9
7/13/2021,5,5,1,8:40,9:10,25.1
7/13/2021,5,5,2,11:45,12:15,27
7/13/2021,5,5,3,14:45,15:15,28.2
7/13/2021,6,5,1,9:30,10:00,25.9
7/13/2021,6,5,2,11:00,11:30,26.2
7/13/2021,6,5,3,14:00,14:30,27.5
7/14/2021,7,5,1,8:20,8:50,23.4
7/14/2021,7,5,2,11:45,12:15,29
7/14/2021,7,5,3,14:45,15:15,29.9
7/14/2021,8,5,1,9:30,10:00,23.1
7/14/2021,8,5,2,11:00,11:30,25.8
7/14/2021,8,5,3,14:00,14:30,28.8
7/27/2021,1,6,1,8:30,9:00,25.3
7/27/2021,1,6,2,11:45,12:15,27
7/27/2021,1,6,3,14:45,15:15,30.5
7/27/2021,2,6,1,9:15,9:45,25.5
7/27/2021,2,6,2,11:00,11:30,26
7/27/2021,2,6,3,14:00,14:30,29
7/26/2021,3,6,1,8:30,9:00,23
7/26/2021,3,6,2,11:45,12:15,31
7/26/2021,3,6,3,14:45,15:15,32.1
7/26/2021,4,6,1,9:30,10:00,24
7/26/2021,4,6,2,11:00,11:30,24.9
7/26/2021,4,6,3,14:00,14:30,30.4
7/28/2021,5,6,1,8:15,8:45,25.3
7/28/2021,5,6,2,11:45,12:15,38.1
7/28/2021,5,6,3,14:45,15:15,38.1
7/28/2021,6,6,1,9:15,9:45,28.8
7/28/2021,6,6,2,11:00,11:30,34
7/28/2021,6,6,3,14:00,14:30,35.2
7/29/2021,7,6,1,8:50,9:20,28
7/29/2021,7,6,2,11:55,12:25,37.1
7/29/2021,7,6,3,14:45,15:15,38.4
7/29/2021,8,6,1,9:50,10:20,30.1
7/29/2021,8,6,2,11:00,11:30,30.8
7/29/2021,8,6,3,14:00,14:30,36.8
8/12/2021,1,7,1,7:40,8:10,21.4
8/12/2021,1,7,2,15:35,16:05,28.2
8/12/2021,1,7,3,16:05,16:35,28
8/12/2021,2,7,1,8:25,8:55,20.8
8/12/2021,2,7,2,14:25,14:55,28.2
8/12/2021,2,7,3,14:55,15:25,28.6
8/12/2021,3,7,1,10:40,11:10,29.6
8/12/2021,3,7,2,11:30,12:00,28
8/12/2021,3,7,3,12:10,12:40,27.9
8/12/2021,4,7,1,9:40,10:10,22.6
8/12/2021,4,7,2,12:50,13:20,27.9
8/12/2021,4,7,3,13:20,13:50,28
8/11/2021,5,7,1,9:30,10:00,27
8/11/2021,5,7,2,14:00,14:30,34
8/11/2021,5,7,3,16:20,16:50,34.4
8/11/2021,6,7,1,8:05,8:35,23.8
8/11/2021,6,7,2,15:00,15:30,34.2
8/11/2021,6,7,3,15:30,16:00,34.4
8/11/2021,7,7,1,10:10,10:40,29
8/11/2021,7,7,2,12:45,13:15,32
8/11/2021,7,7,3,13:20,13:50,33.6
8/11/2021,8,7,1,11:00,11:30,30
8/11/2021,8,7,2,11:30,12:00,30.5
8/11/2021,8,7,3,12:00,12:30,31
8/18/2021,1,8,1,8:00,8:30,21.9
8/20/2021,1,8,2,12:20,12:50,17.5
8/20/2021,1,8,3,14:10,14:40,20
8/18/2021,2,8,1,8:45,9:15,22.3
8/20/2021,2,8,2,1:00,1:30,20
8/20/2021,2,8,3,1:30,2:00,20
8/20/2021,3,8,1,8:30,9:00,12.6
8/20/2021,3,8,2,10:00,10:30,16.9
8/20/2021,3,8,3,10:30,11:00,17
8/20/2021,4,8,1,9:15,9:45,16.6
8/20/2021,4,8,2,11:10,11:40,17.1
8/20/2021,4,8,3,11:40,12:10,17.5
8/21/2021,5,8,1,9:35,10:05,24.9
8/21/2021,5,8,2,13:35,14:05,26
8/21/2021,5,8,3,14:05,14:35,26.2
8/21/2021,6,8,1,8:40,9:10,8.8
8/21/2021,6,8,2,14:50,15:20,26.5
8/21/2021,6,8,3,15:20,15:50,26.5
8/21/2021,7,8,1,10:25,10:55,25
8/21/2021,7,8,2,12:50,13:20,25.7
8/21/2021,7,8,3,13:20,13:50,26
8/21/2021,8,8,1,11:10,11:40,25.1
8/21/2021,8,8,2,11:40,12:10,25.2
8/21/2021,8,8,3,12:40,13:10,25.4
9/11/2021,1,9,1,11:00,11:30,21.3
9/11/2021,1,9,2,12:50,13:20,21.5
9/11/2021,1,9,3,13:20,13:50,21.7
9/11/2021,2,9,1,11:30,12:00,21.9
9/11/2021,2,9,2,12:00,12:30,22.3
9/11/2021,2,9,3,12:30,13:00,22.6
9/11/2021,3,9,1,8:15,8:45,20
9/11/2021,3,9,2,8:45,9:15,20.2
9/11/2021,3,9,3,9:15,9:45,20.5
9/11/2021,4,9,1,9:35,10:05,20.7
9/11/2021,4,9,2,10:05,10:35,20.9
9/11/2021,4,9,3,10:35,11:05,21.1
9/12/2021,5,9,1,7:45,8:15,20
9/12/2021,5,9,2,13:15,13:45,22.3
9/12/2021,5,9,3,13:45,14:15,22.6
9/12/2021,6,9,1,8:20,8:50,20.2
9/12/2021,6,9,2,8:50,9:20,20.5
9/12/2021,6,9,3,9:20,9:50,20.7
9/12/2021,7,9,1,10:00,10:30,20.9
9/12/2021,7,9,2,12:10,12:40,21.7
9/12/2021,7,9,3,12:40,13:10,21.9
9/12/2021,8,9,1,10:35,11:05,21.1
9/12/2021,8,9,2,11:05,11:35,21.3
9/12/2021,8,9,3,11:35,12:05,21.5
